hour,AUC,Accuracy,Acc_class_0,Acc_class_1
6,0.7362962962962962,0.7102564102564102,0.7777777777777777,0.4833333333333333
7,0.734848484848485,0.5571428571428572,0.4909090909090909,0.75
8,0.8236111111111111,0.48500000000000004,0.39230769230769236,0.85
9,0.7746336996336997,0.49150326797385613,0.4164835164835165,0.7166666666666666
10,0.795,0.6936842105263158,0.7116666666666667,0.64
11,0.8295588235294117,0.6004329004329005,0.5610294117647059,0.72
12,0.8277582846003899,0.726449275362319,0.7555555555555555,0.6
13,0.8252105263157894,0.7301538461538463,0.7452631578947368,0.68
14,0.8238095238095238,0.6299145299145298,0.6,0.7466666666666668
15,0.7878919631093545,0.7,0.6845849802371541,0.76
16,0.7934437543133195,0.7239080459770115,0.7597826086956522,0.5999999999999999
17,0.8219487179487179,0.76875,0.7796923076923077,0.7190476190476189
18,0.845204178537512,0.8133689839572193,0.8264957264957264,0.761904761904762
19,0.8328042328042329,0.7764705882352941,0.7777777777777777,0.7714285714285715
20,0.8567733990147783,0.7944444444444445,0.7985221674876847,0.775
21,0.8763095238095238,0.7961593172119488,0.7933333333333333,0.8035714285714286
22,0.8285714285714286,0.7954116059379217,0.8064516129032258,0.7535714285714287
23,0.8145089285714284,0.6623076923076923,0.6375,0.7928571428571429
24,0.8629565746753247,0.8192307692307692,0.8517045454545455,0.6607142857142857
25,0.8400162337662337,0.8043589743589743,0.8049242424242424,0.8107142857142857
26,0.8289738906926407,0.7100000000000001,0.6770833333333334,0.8571428571428571
27,0.8630952380952379,0.7751219512195122,0.7623885918003566,0.8285714285714285
28,0.8372421695951108,0.706951219512195,0.6919786096256685,0.775
29,0.8790966386554622,0.8254355400696864,0.8411764705882352,0.7571428571428571
30,0.853673469387755,0.7571428571428572,0.757983193277311,0.75
31,0.8848299319727891,0.7921373200442968,0.7725396825396826,0.8892857142857142
32,0.8740136054421768,0.820376522702104,0.8295238095238096,0.7821428571428571
33,0.8753514739229024,0.8267995570321152,0.836984126984127,0.7785714285714287
34,0.8823356009070296,0.7892580287929125,0.774126984126984,0.8607142857142858
35,0.9003174603174603,0.8504983388704318,0.8544444444444445,0.8321428571428571
36,0.8669614512471654,0.7851605758582503,0.7985714285714286,0.725
37,0.9002721088435374,0.8314507198228128,0.8425396825396824,0.7714285714285715
38,0.859126984126984,0.7116279069767443,0.7487301587301587,0.5464285714285715
39,0.8605357142857141,0.7868921775898521,0.8095238095238095,0.675
40,0.8667063492063493,0.7421775898520084,0.7325396825396825,0.7821428571428571
41,0.8534722222222222,0.780338266384778,0.7888888888888889,0.7464285714285714
42,0.8932003432003434,0.7727272727272727,0.7897897897897898,0.6964285714285714
43,0.8740508365508365,0.7087878787878787,0.7225225225225225,0.6428571428571429
44,0.8446884384384384,0.7817171717171717,0.805105105105105,0.675
45,0.8400900900900901,0.7784541062801932,0.8,0.6861111111111111
46,0.8277027027027026,0.8094685990338164,0.8648648648648649,0.5555555555555556
47,0.836111111111111,0.813913043478261,0.8594594594594595,0.6
48,0.8220207049154418,0.7946859903381643,0.8395448079658607,0.586111111111111
49,0.8394499762920816,0.7565217391304347,0.7763869132290185,0.6555555555555556
50,0.8589536905326378,0.7703977798334876,0.7935988620199146,0.6611111111111111
51,0.8759502923976609,0.8354301572617946,0.9103840682788051,0.5055555555555555
52,0.8614484930274404,0.751341350601295,0.7747638326585694,0.6583333333333333
53,0.8673582995951417,0.8037002775208141,0.8224021592442645,0.7083333333333333
54,0.8693207377417902,0.837650323774283,0.8753036437246964,0.6666666666666666
55,0.8836707152496626,0.7991674375578168,0.7968960863697706,0.8138888888888889
56,0.8503148897885741,0.8030527289546715,0.8180836707152496,0.7388888888888888
57,0.8457302444144549,0.7923758865248226,0.8352226720647774,0.5999999999999999
58,0.8236392262708051,0.8007978723404255,0.840485829959514,0.6194444444444444
59,0.8513082920977657,0.7926418439716312,0.856140350877193,0.5027777777777779
60,0.8378579997001051,0.8008865248226951,0.8197031039136302,0.711111111111111
61,0.8454228520017993,0.7462765957446809,0.7431848852901484,0.7694444444444445
62,0.8622394661868347,0.7675531914893616,0.7887989203778677,0.6611111111111111
63,0.8487179487179487,0.7722517730496454,0.7743589743589744,0.7694444444444445
64,0.8698717948717949,0.823049645390071,0.8512820512820513,0.6972222222222222
65,0.8653846153846155,0.8061170212765958,0.8615384615384615,0.5583333333333333
66,0.8631054131054132,0.8272163120567375,0.8564102564102564,0.6888888888888889
67,0.8687321937321937,0.7931737588652481,0.8205128205128205,0.6722222222222223
68,0.853988603988604,0.801950354609929,0.8358974358974359,0.65
69,0.8707264957264957,0.7684397163120568,0.7743589743589744,0.7444444444444445
70,0.8574786324786325,0.7677304964539007,0.7641025641025642,0.7944444444444445
71,0.8676638176638176,0.8016843971631206,0.8153846153846154,0.7444444444444445
72,0.8506410256410255,0.8058510638297871,0.8358974358974359,0.6694444444444445
73,0.866096866096866,0.8481382978723404,0.8820512820512819,0.6944444444444444
74,0.8695868945868945,0.82677304964539,0.8615384615384615,0.675
75,0.8648148148148149,0.7888297872340425,0.8000000000000002,0.7444444444444445
76,0.8556267806267804,0.7677304964539007,0.7794871794871794,0.7166666666666666
77,0.8786324786324787,0.8270390070921987,0.8512820512820513,0.7194444444444444
78,0.8635327635327636,0.7932624113475178,0.8051282051282052,0.7388888888888889
79,0.8523504273504272,0.7809397163120566,0.8051282051282052,0.6722222222222223
80,0.8735754985754987,0.8185283687943263,0.8358974358974359,0.7472222222222222
81,0.8574074074074073,0.8020390070921986,0.8410256410256409,0.6166666666666666
82,0.8828347578347578,0.8229609929078012,0.841025641025641,0.736111111111111
83,0.862037037037037,0.8101063829787234,0.8307692307692307,0.7138888888888889
