hour,n_samples,cpc_auc,cpc_acc,km_auc,km_acc
6,52,0.7678571428571429,0.5618181818181818,0.6140476190476191,0.5399999999999999
7,59,0.6969907407407407,0.5227272727272727,0.7726058201058201,0.6560606060606061
8,68,0.706060606060606,0.46593406593406594,0.7076010101010102,0.5164835164835165
9,73,0.7555555555555555,0.7542857142857142,0.7626924001924001,0.6619047619047619
10,80,0.8435897435897436,0.725,0.743474025974026,0.55
11,92,0.8364285714285714,0.6777777777777778,0.6997621822621822,0.5970760233918128
12,101,0.8244166666666667,0.6819047619047619,0.7163255494505494,0.6223809523809523
13,111,0.7996078431372549,0.7296442687747036,0.7500000000000001,0.6671936758893281
14,120,0.7808576998050683,0.6416666666666667,0.7525990675990675,0.5833333333333333
15,127,0.7800175438596492,0.6947692307692307,0.7488199344515134,0.6753846153846154
16,132,0.8096031746031747,0.7062678062678062,0.7693413384860752,0.674074074074074
17,138,0.8202020202020203,0.7468253968253968,0.7461341354723707,0.6965608465608466
18,150,0.8119910282953761,0.78,0.8165256680024482,0.7
19,156,0.8085238095238095,0.7431451612903225,0.7664050947332681,0.6463709677419354
20,157,0.7539047619047619,0.738508064516129,0.7663640238704177,0.7201612903225808
21,166,0.818260751594085,0.6926916221033869,0.7935855664803034,0.7169340463458111
22,171,0.8153250188964474,0.7364705882352942,0.817463900324138,0.737310924369748
23,177,0.8174759558996012,0.7119047619047618,0.805780347332979,0.6842857142857143
24,180,0.8493158182813355,0.7833333333333333,0.7832922263495019,0.7111111111111112
25,183,0.8372555043522786,0.7932432432432434,0.7689279638490165,0.7492492492492493
26,183,0.8299027137736816,0.7381381381381381,0.7941738437001595,0.732882882882883
27,183,0.8062058371735793,0.7761261261261261,0.7933251223731773,0.715915915915916
28,186,0.8208294930875576,0.7745376955903271,0.7894235394235393,0.6231863442389759
29,185,0.8254377880184333,0.6918918918918918,0.7616846659569771,0.7243243243243244
30,187,0.8305683563748081,0.7220483641536273,0.7627145716602239,0.6418207681365576
31,190,0.8703773041474655,0.6947368421052632,0.7560577719382067,0.6631578947368422
32,190,0.8505424347158218,0.631578947368421,0.7649369463065115,0.6684210526315789
33,191,0.8532786098310291,0.7165991902834008,0.7430473558915589,0.6488529014844805
34,192,0.8169642857142858,0.6713900134952767,0.7646659761333675,0.6929824561403508
35,192,0.8157738095238096,0.5950067476383266,0.7557537675689849,0.7080971659919029
36,192,0.8236607142857142,0.6767881241565453,0.7569392736892737,0.6929824561403508
37,190,0.8413258448540708,0.6631578947368421,0.7173855320679963,0.6263157894736842
38,189,0.846846198156682,0.7297297297297297,0.7386851481851482,0.6285917496443811
39,187,0.8625192012288787,0.7,0.7595239418946316,0.6411095305832148
40,185,0.8695852534562212,0.7027027027027026,0.71420295679666,0.6378378378378378
41,184,0.8487455197132615,0.8043543543543544,0.7319047067073998,0.6466966966966967
42,182,0.8019354838709678,0.7852852852852854,0.7859351073762839,0.675975975975976
43,180,0.8501094690749863,0.6666666666666666,0.7171639857726815,0.6111111111111112
44,181,0.8461904761904762,0.7954954954954954,0.7352661845266504,0.6509009009009008
45,181,0.790279146141215,0.7343843843843845,0.6999655417046722,0.6462462462462463
46,181,0.7708866995073892,0.6018018018018019,0.7314067658011661,0.6126126126126126
47,176,0.7651653764954258,0.6698412698412699,0.7287197143055267,0.6704761904761904
48,174,0.8110426929392448,0.7072268907563025,0.7350117301245122,0.6552941176470588
49,173,0.8577175697865353,0.8036974789915966,0.7805687066556632,0.6060504201680672
50,174,0.8313570255688483,0.8048739495798319,0.7634229710030626,0.7122689075630253
51,175,0.8157635467980295,0.7314285714285715,0.7600860918530092,0.6685714285714286
52,172,0.7876554069903825,0.7904201680672269,0.7794594172883647,0.7038655462184875
53,172,0.7769704433497537,0.6151260504201681,0.7778331011094168,0.7099159663865546
54,171,0.8079228243021346,0.6497478991596639,0.7911265727026596,0.6549579831932772
55,171,0.8232348111658456,0.6894117647058824,0.7851238918086745,0.6838655462184874
56,167,0.7840828924162258,0.706060606060606,0.7703338474391106,0.6823529411764705
57,165,0.7222222222222222,0.5757575757575758,0.793354581621845,0.7030303030303029
58,165,0.8135802469135802,0.6424242424242425,0.7873585673585674,0.6848484848484849
59,162,0.7533713200379868,0.678030303030303,0.7915492216449154,0.7102272727272727
60,160,0.8336752136752136,0.79375,0.8131353076747814,0.725
61,158,0.7935384615384616,0.766733870967742,0.8108835608835608,0.6768145161290322
62,158,0.782,0.7600806451612904,0.814010434010434,0.7205645161290323
63,152,0.8013333333333333,0.6387096774193549,0.7931217627401838,0.7109677419354838
64,149,0.8085333333333334,0.7188505747126437,0.8291044973544974,0.7043678160919541
65,147,0.8163333333333334,0.6855172413793104,0.856826563958917,0.7827586206896552
66,145,0.8099999999999999,0.696551724137931,0.8464809081527349,0.7655172413793103
67,143,0.7999999999999999,0.761576354679803,0.8259157754010695,0.7004926108374384
68,141,0.8042391304347826,0.7160098522167487,0.8532707402676444,0.7529556650246305
69,138,0.8595652173913043,0.6227513227513227,0.8233788107317519,0.7166666666666667
70,136,0.8089723320158102,0.7492063492063492,0.8166332686920923,0.6984126984126984
71,133,0.8065810276679842,0.6757834757834756,0.7836818477169353,0.6005698005698006
72,128,0.8176406926406926,0.7572307692307693,0.855520979020979,0.7181538461538463
73,127,0.8221861471861471,0.763076923076923,0.8128778084660437,0.6215384615384616
74,120,0.7877380952380952,0.65,0.7959077959077959,0.6416666666666666
75,118,0.835,0.7119565217391305,0.8409126984126983,0.6949275362318842
76,118,0.79,0.7293478260869565,0.818373015873016,0.6952898550724639
77,116,0.7369298245614035,0.5413043478260869,0.7509523809523811,0.5771739130434783
78,113,0.8,0.7256916996047431,0.7927475302475303,0.6822134387351779
79,109,0.7800682261208577,0.6519480519480519,0.8313266417678182,0.706060606060606
80,107,0.7834307992202729,0.5987012987012987,0.826498422212708,0.7095238095238096
81,106,0.8027777777777777,0.5952380952380951,0.8001284958427816,0.7264069264069264
82,105,0.8438997821350764,0.7047619047619047,0.7860840482269055,0.6666666666666667
83,105,0.8478213507625274,0.6857142857142857,0.7544366744366744,0.6476190476190476
